grandprix,year,driver_name,driver_code,driver_number,track,track_type,wet_dry,fastest_lap_time,avg_lap_time,avg_sector_1_time,avg_sector_2_time,avg_sector_3_time,pitstops,grid_position,finished_position,recent_form_5,recent_form_3,recent_podiums_5,recent_wins_5,avg_finish,finish_std,race_count,avg_grid,grid_std,avg_fastest_lap,avg_pitstops,podium_count,podium_rate,win_count,win_rate,dnf_count,dnf_rate,track_avg_finish,track_race_count,track_avg_grid,track_avg_fastest_lap,track_podium_count,track_podium_rate,track_encoded,driver_encoded,track_type_encoded,wet_dry_encoded,grid_advantage,consistency_score,performance_momentum,quali_vs_race_gap,finished_position_clean
Abu Dhabi Grand Prix,2023,Alexander ALBON,ALB,23,Yas Marina Circuit,circuit,dry,87.845,90.43449091,18.95122807,38.3405614,33.85177193,2,14,14,0,0,0,0,10.98113208,3.416535391,53,12.5,3.788034629,88.191,1.712121212,0,0,0,0,13,0.245283019,12.5,2,15,88.6415,0,0,22,0,0,0,0.886524823,0.226421824,0.916535433,0,14
Australian Grand Prix,2023,Alexander ALBON,ALB,23,Melbourne,street,dry,83.349,102.2936,36.6616,22.9266,42.7054,0,8,,14,14,0,0,10.98113208,3.416535391,53,12.5,3.788034629,88.191,1.712121212,0,0,0,0,13,0.245283019,8,2,8.666666667,83.188,0,0,9,0,1,0,1.543209877,0.226421824,-0.251968504,,25
Austrian Grand Prix,2023,Alexander ALBON,ALB,23,Spielberg,circuit,wet,69.56,71.60326866,18.57922857,32.19508571,22.23031429,3,10,11,14,14,0,0,10.98113208,3.416535391,53,12.5,3.788034629,88.191,1.712121212,0,0,0,0,13,0.245283019,13,2,12.66666667,70.18833333,0,0,20,0,0,1,1.237623762,0.226421824,-0.251968504,1,11
Azerbaijan Grand Prix,2023,Alexander ALBON,ALB,23,Baku,street,dry,105.925,110.3409592,39.68012,44.79742,26.17994,1,13,12,12.5,12.5,0,0,10.98113208,3.416535391,53,12.5,3.788034629,88.191,1.712121212,0,0,0,0,13,0.245283019,10.66666667,3,14,105.6746667,0,0,1,0,1,0,0.954198473,0.226421824,-0.126771654,-1,12
Bahrain Grand Prix,2023,Alexander ALBON,ALB,23,Sakhir,circuit,dry,97.144,99.09590566,32.57358929,43.28278571,24.50178571,3,15,10,12.33333333,11.5,0,0,10.98113208,3.416535391,53,12.5,3.788034629,88.191,1.712121212,0,0,0,0,13,0.245283019,12.33333333,3,14.33333333,96.66933333,0,0,15,0,0,0,0.82781457,0.226421824,-0.112860892,-5,10
Belgian Grand Prix,2023,Alexander ALBON,ALB,23,Spa-Francorchamps,circuit,wet,109.841,113.6759,32.88897674,51.11681395,30.55874419,3,15,14,11.75,11,0,0,10.98113208,3.416535391,53,12.5,3.788034629,88.191,1.712121212,0,0,0,0,13,0.245283019,10.66666667,3,10.33333333,108.2166667,0,0,19,0,0,1,0.82781457,0.226421824,-0.064173228,-1,14
British Grand Prix,2023,Alexander ALBON,ALB,23,Silverstone,circuit,dry,91.273,97.73698,31.98558824,39.62660784,27.08294118,1,8,8,11.75,12,0,0,10.98113208,3.416535391,53,12.5,3.788034629,88.191,1.712121212,0,0,0,0,13,0.245283019,8.333333333,3,10.33333333,90.346,0,0,17,0,0,0,1.543209877,0.226421824,-0.064173228,0,8
Canadian Grand Prix,2023,Alexander ALBON,ALB,23,Montreal,circuit,dry,76.917,80.65102941,22.71237681,26.06204348,32.52972464,1,10,7,11,10.66666667,0,0,10.98113208,3.416535391,53,12.5,3.788034629,88.191,1.712121212,0,0,0,0,13,0.245283019,7,1,10,77.491,0,0,13,0,0,0,1.237623762,0.226421824,-0.001574803,-3,7
Dutch Grand Prix,2023,Alexander ALBON,ALB,23,Zandvoort,circuit,wet,74.468,84.40867164,29.63401449,30.32323944,26.26416901,4,4,8,10.2,9.666666667,0,0,10.98113208,3.416535391,53,12.5,3.788034629,88.191,1.712121212,0,0,0,0,13,0.245283019,9,3,9.5,74.19633333,0,0,23,0,0,1,3.048780488,0.226421824,0.06519685,4,8
Hungarian Grand Prix,2023,Alexander ALBON,ALB,23,Hungaroring,circuit,dry,84.051,85.071,31.00983824,30.62580882,23.96976471,2,16,11,9.4,7.666666667,0,0,10.98113208,3.416535391,53,12.5,3.788034629,88.191,1.712121212,0,0,0,0,13,0.245283019,13.33333333,3,16.33333333,82.92,0,0,3,0,0,0,0.776397516,0.226421824,0.131968504,-5,11
Italian Grand Prix,2023,Alexander ALBON,ALB,23,Monza,circuit,dry,86.389,87.09916327,28.66702,30.0842,28.75806,1,6,7,9.6,8.666666667,0,0,10.98113208,3.416535391,53,12.5,3.788034629,88.191,1.712121212,0,0,0,0,13,0.245283019,7.666666667,3,9.666666667,83.89166667,0,0,14,0,0,0,2.049180328,0.226421824,0.115275591,1,7
Japanese Grand Prix,2023,Alexander ALBON,ALB,23,Suzuka,circuit,dry,99.185,106.5205217,42.60636,46.41804,21.58448,2,13,,8.2,8.666666667,0,0,10.98113208,3.416535391,53,12.5,3.788034629,88.191,1.712121212,0,0,0,0,13,0.245283019,9,1,12,95.155,0,0,21,0,0,0,0.954198473,0.226421824,0.232125984,,25
Las Vegas Grand Prix,2023,Alexander ALBON,ALB,23,Las Vegas,street,dry,97.357,107.5445625,30.82057143,36.03491837,40.88579592,1,6,12,8.25,9,0,0,10.98113208,3.416535391,53,12.5,3.788034629,88.191,1.712121212,0,0,0,0,13,0.245283019,12,1,12,97.6825,0,0,7,0,1,0,2.049180328,0.226421824,0.227952756,6,12
Mexico City Grand Prix,2023,Alexander ALBON,ALB,23,Mexico City,circuit,dry,82.773,85.53054412,30.63565217,33.53194286,22.72291429,2,14,9,9.5,9.5,0,0,10.98113208,3.416535391,53,12.5,3.788034629,88.191,1.712121212,0,0,0,0,13,0.245283019,10.5,2,13.33333333,81.6265,0,0,10,0,0,0,0.886524823,0.226421824,0.123622047,-5,9
Miami Grand Prix,2023,Alexander ALBON,ALB,23,Miami,street,dry,91.852,93.09029091,32.11939286,35.19019643,26.04319643,1,11,14,9.75,10.5,0,0,10.98113208,3.416535391,53,12.5,3.788034629,88.191,1.712121212,0,0,0,0,13,0.245283019,12.33333333,3,10.66666667,91.061,0,0,11,0,1,0,1.126126126,0.226421824,0.102755906,3,14
Monaco Grand Prix,2023,Alexander ALBON,ALB,23,Monte Carlo,circuit,wet,76.672,85.63648649,22.48536842,40.55065789,22.70836842,2,13,14,10.5,11.66666667,0,0,10.98113208,3.416535391,53,12.5,3.788034629,88.191,1.712121212,0,0,0,0,13,0.245283019,10.66666667,3,10.66666667,76.10966667,0,0,12,0,0,1,0.954198473,0.226421824,0.04015748,1,14
Qatar Grand Prix,2023,Alexander ALBON,ALB,23,Lusail,circuit,dry,86.666,91.99916981,35.03583929,30.69291071,27.40998214,3,14,13,12.25,12.33333333,0,0,10.98113208,3.416535391,53,12.5,3.788034629,88.191,1.712121212,0,0,0,0,13,0.245283019,14,2,15,86.1125,0,0,8,0,0,0,0.886524823,0.226421824,-0.105905512,-1,13
Saudi Arabian Grand Prix,2023,Alexander ALBON,ALB,23,Jeddah,street,dry,95.567,102.78288,38.60223077,32.28188462,33.72976923,1,17,,12.4,13.66666667,0,0,10.98113208,3.416535391,53,12.5,3.788034629,88.191,1.712121212,0,0,0,0,13,0.245283019,10,2,13.33333333,93.78366667,0,0,6,0,1,0,0.730994152,0.226421824,-0.118425197,,25
Singapore Grand Prix,2023,Alexander ALBON,ALB,23,Singapore,street,dry,97.342,102.2117288,30.43080328,44.56529508,29.22944262,2,14,11,12.5,13.5,0,0,10.98113208,3.416535391,53,12.5,3.788034629,88.191,1.712121212,0,0,0,0,13,0.245283019,12.5,2,12.5,96.626,0,0,18,0,1,0,0.886524823,0.226421824,-0.126771654,-3,11
