grandprix,year,driver_name,driver_code,driver_number,track,track_type,wet_dry,fastest_lap_time,avg_lap_time,avg_sector_1_time,avg_sector_2_time,avg_sector_3_time,pitstops,grid_position,finished_position
Australian Grand Prix,2025,Max VERSTAPPEN,VER,1,Melbourne,street,wet,83.081,103.8148431,36.93325455,23.56253571,46.894125,5,3,2
Australian Grand Prix,2025,Lando NORRIS,NOR,4,Melbourne,street,wet,82.167,104.4691373,37.19123214,23.77123214,46.34476786,5,1,1
Australian Grand Prix,2025,Gabriel BORTOLETO,BOR,5,Melbourne,street,wet,84.192,103.3949487,36.53727273,23.25445455,47.28938636,5,15,
Australian Grand Prix,2025,Isack HADJAR,HAD,6,Melbourne,street,wet,,,,,,0,11,
Australian Grand Prix,2025,Jack DOOHAN,DOO,7,Melbourne,street,wet,,,,,,0,14,
Australian Grand Prix,2025,Pierre GASLY,GAS,10,Melbourne,street,wet,85.02,103.6871373,36.575125,23.55494643,47.34625,5,9,11
Australian Grand Prix,2025,Andrea Kimi ANTONELLI,ANT,12,Melbourne,street,wet,84.901,103.8702353,36.39258929,23.515375,47.12930357,5,16,4
Australian Grand Prix,2025,Fernando ALONSO,ALO,14,Melbourne,street,wet,88.819,98.10903571,36.02787097,21.88654839,45.5463871,3,12,
Australian Grand Prix,2025,Charles LECLERC,LEC,16,Melbourne,street,wet,85.271,104.1994902,36.44689286,23.31664286,47.6945,5,7,8
Australian Grand Prix,2025,Lance STROLL,STR,18,Melbourne,street,wet,85.538,104.3679412,36.42401786,23.56171429,47.23269643,5,13,6
Australian Grand Prix,2025,Yuki TSUNODA,TSU,22,Melbourne,street,wet,84.194,103.9780392,36.65326786,23.54219643,47.40333929,5,5,12
Australian Grand Prix,2025,Alexander ALBON,ALB,23,Melbourne,street,wet,84.597,103.9774314,36.593125,23.69183929,46.98078571,5,6,5
Australian Grand Prix,2025,Nico HULKENBERG,HUL,27,Melbourne,street,wet,85.243,104.3804706,36.52373214,23.38641071,47.29532143,5,17,7
Australian Grand Prix,2025,Liam LAWSON,LAW,30,Melbourne,street,wet,82.97,102.4476341,36.1156,23.15848889,46.98491111,4,18,
Australian Grand Prix,2025,Esteban OCON,OCO,31,Melbourne,street,wet,86.764,104.444,37.10180357,22.93616071,47.34946429,5,19,13
Australian Grand Prix,2025,Lewis HAMILTON,HAM,44,Melbourne,street,wet,84.218,103.727549,36.604125,23.49798214,47.32457143,5,8,10
Australian Grand Prix,2025,Carlos SAINZ,SAI,55,Melbourne,street,wet,,,,,,0,10,
Australian Grand Prix,2025,George RUSSELL,RUS,63,Melbourne,street,wet,85.065,104.4543922,37.01067857,23.66019643,46.65307143,5,4,3
Australian Grand Prix,2025,Oscar PIASTRI,PIA,81,Melbourne,street,wet,83.242,104.7606471,36.51551786,23.30232143,46.04316364,5,2,9
Australian Grand Prix,2025,Oliver BEARMAN,BEA,87,Melbourne,street,wet,87.603,104.8060392,36.78901786,23.19048214,47.47125,5,,14
Chinese Grand Prix,2025,Max VERSTAPPEN,VER,1,Shanghai,circuit,dry,95.488,97.29964815,26.31667273,29.43076364,41.87861818,1,4,4
Chinese Grand Prix,2025,Lando NORRIS,NOR,4,Shanghai,circuit,dry,95.454,97.21942593,26.31259259,29.36910909,41.88630909,1,3,2
Chinese Grand Prix,2025,Gabriel BORTOLETO,BOR,5,Shanghai,circuit,dry,95.874,98.24555769,26.9105,29.60992593,42.40781481,2,19,14
Chinese Grand Prix,2025,Isack HADJAR,HAD,6,Shanghai,circuit,dry,95.868,98.09390566,26.81538182,29.64474545,42.26178182,2,7,11
Chinese Grand Prix,2025,Jack DOOHAN,DOO,7,Shanghai,circuit,dry,96.424,98.33155556,26.60730909,29.68732727,42.35123636,1,18,13
Chinese Grand Prix,2025,Pierre GASLY,GAS,10,Shanghai,circuit,dry,96.425,98.16242593,26.46918182,29.62256364,42.38427273,1,16,
Chinese Grand Prix,2025,Kimi ANTONELLI,ANT,12,Shanghai,circuit,dry,96.046,97.93996296,26.52450909,29.6768,42.08534545,1,8,6
Chinese Grand Prix,2025,Fernando ALONSO,ALO,14,Shanghai,circuit,dry,99.256,113.271,27.18633333,33.616,52.46866667,0,13,
Chinese Grand Prix,2025,Charles LECLERC,LEC,16,Shanghai,circuit,dry,96.157,97.43222222,26.33536364,29.56396364,41.85474545,1,6,
Chinese Grand Prix,2025,Lance STROLL,STR,18,Shanghai,circuit,dry,96.044,98.22855556,26.53912727,29.60876364,42.37181818,1,14,9
Chinese Grand Prix,2025,Yuki TSUNODA,TSU,22,Shanghai,circuit,dry,95.871,98.18945098,27.59477778,29.6317037,42.30835185,3,9,16
Chinese Grand Prix,2025,Alexander ALBON,ALB,23,Shanghai,circuit,dry,96.254,97.92453704,26.52476364,29.62034545,42.14714545,1,10,7
Chinese Grand Prix,2025,Nico HULKENBERG,HUL,27,Shanghai,circuit,dry,97.275,99.01060377,26.69427778,29.9865,42.67768519,1,12,15
Chinese Grand Prix,2025,Liam LAWSON,LAW,30,Shanghai,circuit,dry,95.985,98.03281132,26.73175926,29.66918182,42.29543636,2,20,12
Chinese Grand Prix,2025,Esteban OCON,OCO,31,Shanghai,circuit,dry,95.74,97.87235185,26.50076364,29.57492727,42.10910909,1,11,5
Chinese Grand Prix,2025,Lewis HAMILTON,HAM,44,Shanghai,circuit,dry,95.069,97.17690566,26.53910909,29.28214545,41.98992727,2,5,
Chinese Grand Prix,2025,Carlos SAINZ,SAI,55,Shanghai,circuit,dry,96.779,98.29122222,26.54283636,29.72261818,42.35456364,1,15,10
Chinese Grand Prix,2025,George RUSSELL,RUS,63,Shanghai,circuit,dry,95.816,97.25194444,26.37247273,29.39534545,41.79292727,1,2,3
Chinese Grand Prix,2025,Oscar PIASTRI,PIA,81,Shanghai,circuit,dry,95.52,97.02133333,26.35059259,29.26807273,41.77621818,1,1,1
Chinese Grand Prix,2025,Oliver BEARMAN,BEA,87,Shanghai,circuit,dry,96.363,98.03264815,26.53463636,29.72101818,42.08329091,1,17,8
Japanese Grand Prix,2025,Max VERSTAPPEN,VER,1,Suzuka,circuit,dry,91.041,92.51333333,32.81534615,42.05094231,18.06175,1,1,1
Japanese Grand Prix,2025,Lando NORRIS,NOR,4,Suzuka,circuit,dry,91.116,92.50682353,32.79515385,42.08121154,18.05911538,1,2,2
Japanese Grand Prix,2025,Gabriel BORTOLETO,BOR,5,Suzuka,circuit,dry,92.034,93.90796078,33.46005769,42.58407692,18.26336538,1,17,19
Japanese Grand Prix,2025,Isack HADJAR,HAD,6,Suzuka,circuit,dry,91.317,93.10994118,33.06942308,42.27990385,18.19284615,1,7,8
Japanese Grand Prix,2025,Jack DOOHAN,DOO,7,Suzuka,circuit,dry,92.685,93.89068627,33.39209615,42.56455769,18.33171154,1,19,15
Japanese Grand Prix,2025,Pierre GASLY,GAS,10,Suzuka,circuit,dry,91.82,93.46219608,33.25809615,42.49578846,18.22069231,1,11,13
Japanese Grand Prix,2025,Kimi ANTONELLI,ANT,12,Suzuka,circuit,dry,90.965,92.76788235,32.95288462,42.17271154,18.07996154,1,6,6
Japanese Grand Prix,2025,Fernando ALONSO,ALO,14,Suzuka,circuit,dry,91.77,93.4457451,33.27807692,42.36063462,18.25105769,1,13,11
